Topic,Count,Name,Representation,Representative_Docs
16,21,16_generated_art_attributed_disclosed,"['generated', 'art', 'attributed', 'disclosed', 'must', 'created', 'opinions', 'training', 'indie', 'post']","['content created others must attributed use generative must disclosed content created others must clearly provide reference author creator source adult content include performers accounts may solely post generated content', 'content created others must attributed use must disclosed profiles post generated content tolerated', 'content created others must attributed use must disclosed profiles post generated content tolerated']"
17,20,17_dogpiling_doxxing_users_harassment,"['dogpiling', 'doxxing', 'users', 'harassment', 'harrassment', 'reporting', 'mass', 'spam', 'dogpile', 'piling']","['harassment dogpiling doxxing users', 'harassment dogpiling doxxing users', 'harassment dogpiling doxxing users']"
18,18,18_code_conduct_terms_full,"['code', 'conduct', 'terms', 'full', 'agree', 'https', 'service', 'found', 'toot', 'comply']","['agree terms service code conduct', 'full code conduct full code conduct found https docs google com document 1jxkuljkmwemv cb jaykg2l0stczehkdcqwimnkf6ko rules wording listed summarized brevity', 'full code conduct full code conduct found https docs google com document 1jxkuljkmwemv cb jaykg2l0stczehkdcqwimnkf6ko rules wording listed summarized brevity']"
19,18,19_sexually_media_violent_explicit,"['sexually', 'media', 'violent', 'explicit', 'gratuitous', 'serves', 'obscenity', 'practical', 'benefit', 'offensive']","['sexually explicit violent posts media allowed', 'sexually explicit violent posts media allowed', 'sexually explicit violent media']"
20,18,20_mastodon_servers_abides_nz,"['mastodon', 'servers', 'abides', 'nz', 'server', 'covenant', 'answer', 'charter', 'rules', 'hosted']","['mastodon servers break rules banned federating nfld possible follow users servers around world federated timeline streams posts servers break rules limited blocked communicating us', 'please direct requests site features mastodon open source project may implement downstream changes specific instance see fit wish maintain relative parity latest stable mastodon release', 'server abides mastodon covenant']"
21,18,21_header_avatars_nsfw_images,"['header', 'avatars', 'nsfw', 'images', 'explicit', 'markers', 'content', 'used', 'avatar', 'user']","['explicit nsfw content without content warnings sensitive media markers explicit content must used user avatars header images', 'explicit nsfw content without content warnings sensitive media markers explicit content must used user avatars header images', 'explicit nsfw content without content warnings sensitive media markers explicit content must used user avatars header images']"
22,17,22_email_apple_corporate_accounts,"['email', 'apple', 'corporate', 'accounts', 'organisation', 'address', 'net', 'business', 'account', 'organization']","['valid reachable email required temporary email accounts sorry sell emails sign bullshit need able reach issue account', 'usage disposable email services registration allowed email address use needs long term email address accessible using forwarding services apple mail privacy feature totally fine long email address used used future communication', 'business organizations accounts allowed email used sign organization owned domain example mastodon user apple must use email owned apple like apple com gmail hotmail protonmail etc allowed without prior approval admins']"
23,17,23_spam_malicious_links_network,"['spam', 'malicious', 'links', 'network', 'spamming', '4chan', 'style', 'represent', 'memes', 'posting']","['posting malicious links', 'posting malicious links', 'spam posting malicious links']"
24,17,24_conspiracy_theories_supporting_myths,"['conspiracy', 'theories', 'supporting', 'myths', 'leading', 'narratives', 'mentioned', 'reactionary', 'news', 'similar']","['misinformation conspiracy theories', 'conspiracy theories', 'conspiracy theories']"
25,17,25_discrimination_homophobia_transphobia_racism,"['discrimination', 'homophobia', 'transphobia', 'racism', 'sexism', 'diversity', 'including', 'limited', 'racial', 'thereof']","['discrimination including limited racism sexism homophobia transphobia', 'discrimination including racism sexism homophobia transphobia', 'discrimination including racism sexism homophobia transphobia']"
26,16,26_nfts_cryptocurrencies_crypto_blockchain,"['nfts', 'cryptocurrencies', 'crypto', 'blockchain', 'web3', 'cryptocurrency', 'available', 'suitable', 'nft', 'promotion']","['promotion crypto nfts', 'blockchain crypto nfts', 'nfts crypto blockchain']"
27,16,27_privacy_private_information_addresses,"['privacy', 'private', 'information', 'addresses', 'personal', 'others', 'consent', 'data', 'respect', 'without']","['doxxing share personal information others without consent', 'respect privacy others share personal information without explicit permission respect privacy rights others', 'respectful privacy reveal request personal sensitive information others without consent post share content violates privacy security others impersonate misrepresent others']"
28,15,28_kingdom_united_illegal_germany,"['kingdom', 'united', 'illegal', 'germany', 'countries', 'following', 'content', 'strictly', 'considered', 'belgian']","['content illegal united kingdom', 'content illegal united kingdom', 'content illegal united kingdom']"
29,14,29_hate_speech_radical_love,"['hate', 'speech', 'radical', 'love', 'ideas', 'condone', 'insulting', 'kind', 'toxic', 'racism']","['hate speech', 'hate speech', 'hate speech']"
30,14,30_excessive_spam_mass_advertising,"['excessive', 'spam', 'mass', 'advertising', 'boosting', 'unsolicited', 'accordingly', 'marketing', 'posts', 'actioned']","['advertising spam excessive promotion', 'spamming excessive posting boosting advertising mass marketing posts actioned accordingly based intent', 'spamming excessive posting boosting advertising mass marketing posts actioned accordingly based intent']"
31,14,31_germany_illegal_okay_german,"['germany', 'illegal', 'okay', 'german', 'content', 'immediate', 'suspension', 'lead', 'deleted', 'law']","['content illegal germany', 'content illegal germany', 'content illegal germany']"
32,14,32_symbolism_nazi_socialism_ideology,"['symbolism', 'nazi', 'socialism', 'ideology', 'national', 'nationalist', 'propaganda', 'holocaust', 'denial', 'promoting']","['agree promote advocate violent nationalist propaganda fascism nazi symbolism promoting ideology national socialism', 'tolerate violent nationalist propaganda nazi symbolism promoting ideology national socialism', 'nationalist propaganda nazi symbolism allowed server tolerated promotion ideology national socialism forbidden']"
33,14,33_pawb_social_accounts_account,"['pawb', 'social', 'accounts', 'account', 'services', 'government', 'interaction', 'rule', 'brand', 'may']","['rule 8 5 bypassing suspension suspended pawb social instance may create another account services', 'rule 8 4 unauthorized brand government accounts brand government affiliated account may registered pawb social services without prior written publicly recorded approval except furry fandom operated brands events covered exception full rules rule applies accounts pawb social services', 'rule 8 4 unauthorized brand government accounts brand government affiliated account may registered pawb social services without prior written publicly recorded approval except furry fandom operated brands events covered exception full rules rule applies accounts pawb social services']"
34,13,34_reason_join_requests_rejected,"['reason', 'join', 'requests', 'rejected', 'want', 'field', 'application', 'signing', 'sign', 'accepted']","['must describe link nz part reason wanting join next page applications without declined must kiwi honorary kiwi home abroad join mastodon nz', 'important applying agree server rules please give genuine reason would like join applications short generic answers like games leaving twitter declined english speaking server thanks', 'new account requests must meaningful reason requesting new account must include meaningful reason joining server requests word two reason reason make sense rejected']"
35,11,35_speech_hate_nationality_religion,"['speech', 'hate', 'nationality', 'religion', 'gender', 'race', 'orientation', 'identity', 'sexual', 'age']","['hate speech discrimination group people nationality ethnicity religion gender sexual orientation', 'hate speech hate speech defined derogatory posts links targeting individual group based race mental physical disability religion gender identity sex nationality age class sexual orientation', 'hate speech hate speech defined derogatory posts links targeting individual group based race mental physical disability religion gender identity sex nationality age class sexual orientation']"
